full description,Variable,Unit,Value,Notes
26 fertiliser transport mean from cradle to local storehouse (rail) for urea,urea.transport.mean.2,,rail,It was assumed part of the transport of urea from the cradle to local storehouse has been carried out by rail
27 fertiliser transport mean from cradle to local.storehouse for urea,urea.transport.mean.1,,truck,It was assumed part of the transport of urea from the cradle to local storehouse has been carried out by truck
28 urea production location,urea.production.location,,Canada,this location is set according to the inventory built
29 material inventory location for fertiliser,fertiliser.inventory.location,,Canada,according to the data available
30 fertiliser local transport distance from local storehouse to farm centre,fertiliser.local.transport.distance,km,11.7,from local storehouse to the farm centre  to the farm centre of fertilisers other than urea and ammonia
31 mean for local transport of fertiliser other than urea and ammonia,fertiliser.local.transport.mean,,truck,Mean for local transport from local storehouse to the farm centre of fertilisers other than urea and ammonia
32 2 mean of transport for ammonia,ammonia.transport.mean.2,,rail,It was assumed part of the transport of ammonia from the cradle to local storehouse has been carried out by rail
33 ammonia production location,ammonia.production.location,,Canada,this location is set according to the inventory built
34 1st mean of transport for ammonia,ammonia.transport.mean.1,,truck,It was assumed part of the transport of ammonia from the cradle to local storehouse has been carried out by truck
35 tractor production location,tractor.production.location,,Canada,It was assumed the tractor were manufactured in Canada
"36 1 transport distance for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel",tractor.transport.distance.1,km,1800,"1 transport distance for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel assuming the machines are manufactured in Ontario"
"37 1 transport mean for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel",tractor.transport.mean.1,,rail,"1 transport mean for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel assuming the machines are manufactured in Ontario"
"38 2 transport distance for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel",tractor.transport.distance.2,,300,"2 transport distance for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel assuming the machines are manufactured in Ontario"
"39 2 transport mean for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel",tractor.transport.mean.2,,truck,"2 transport mean for tractors, self-propelled machinery from the factory to the farm and related impact due to the production and transport of fuel assuming the machines are manufactured in Ontario"
40 maintenance and repairs location,maintenance.repairs.location,,Manitoba,this variable is used in the mlc function
41 electricity production location for maintenance and repairs,electricity.production.maintenance.repairs.location,,Manitoba,this variable is used in the mlc function
42 operating machinery production location,operating.machinery.production.location,,Canada,used to account in the mlc for operating machinery manufacture and raw materials extraction. Canada is used as location to use GHGenious data
43 distance between steel factory and the operating machinery manufacture factory,steel.factory.to.operating.machinery.manufacture.factory.distance,km,69,It was assumed the machinery manufacture was carried out in Toronto while steel was produced in Hamilton
44 mean used for transport of raw materials from raw materials factory operating machinery factory,steel.factory.to.operating.machinery.manufacture.factory.mean,,rail,It was assumed the machinery manufacture was carried out in Toronto while steel was produced in Hamilton
45 electricity production location for operating machinery manufacture,electricity.production.operating.machinery.manufacture.location,,Ontario,It was assumed that machinery manufacture was carried out in Toronto
46 total transport distance 1 for machinery manufacture from raw material extraction to delivery to farm,operating.machinery.manufacture.transport.distance.1,,1800,
47 total transport mean 1 for machinery manufacture from raw material extraction to delivery to farm,operating.machinery.manufacture.transport.mean.1,,rail,
46 total transport distance 1 for machinery manufacture from raw material extraction to delivery to farm,operating.machinery.manufacture.transport.distance.2,,300,
47 total transport mean 1 for machinery manufacture from raw material extraction to delivery to farm,operating.machinery.manufacture.transport.mean.2,,truck,
48 distance between steel factory and the operating machinery manufacture factory,rubber.factory.to.operating.machinery.manufacture.factory.distance,km,290,It was assumed the machinery manufacture was carried out in Toronto while rubber was produced in Sarnia
49 mean used for transport of raw materials from raw materials factory operating machinery factory,rubber.factory.to.operating.machinery.manufacture.factory.mean,,rail,It was assumed the machinery manufacture was carried out in Toronto while steel was produced in Sarnia
50 seed transport distance from the local storehouse to the farm centre,seed.transport.distance,km,11.7,It was assumed the same distance and mean of transport has been used for all type of seeds
51 mean for transport for seed transport distance from the local storehouse to the farm centre,seed.transport.transport.mean,,truck,It was assumed the same distance and mean of transport has been used for all type of seeds
52 seed production location,seed.production.location,,Canada,It was assumed for Canada production considering 500 km transport by rail and other 500 km by truck
